job_name,address,job_link,salary,job_details
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18352,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
"NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ MẠNG VIỄN THÔNG  (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-ky-thuat-trien-khai-va-bao-tri-mang-vien-thong-quan-5-6-10-11-18350,8000000 - 15000000 VND,"Khảo sát, lắp đặt đường truyền Internet, Camera đến nhà khách hàng.
Kiểm tra, sửa chữa hệ thống viễn thông.
Hỗ trợ tư vấn kỹ thuật trực tiếp cho khách hàng.
Kết hợp tư vấn, bán các sản phẩm dịch vụ công ty cung cấp. Thấu cảm, tạo ra những
tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các kênh ở mọi điểm chạm.
Thực hiện các công việc khác theo sự phân công của trưởng bộ phận.
Khu vực tuyển dụng: Quận 5, 6, 10, 11"
"CHUYÊN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/chuyen-vien-kinh-doanh-dich-vu-vien-thong-quan-5-6-10-11-18349,10000000 - 20000000 VND,"Tư vấn, giải thích cho khách hàng về dịch vụ do FPT Telecom đang cung cấp.
Sản phẩm: Internet, Truyền hình và Camera FPT
Đàm phán, thương lượng, xúc tiến ký kết hợp đồng với khách hàng.
Làm việc tại văn phòng hoặc theo yêu cầu, hướng dẫn của quản lý trực tiếp."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18345,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
KỸ THUẬT VIÊN KHẢO SÁT THIẾT KẾ HẠ TẦNG VIỄN THÔNG (HCM),"29B-31B-33B, Đường Tân Thuận, Khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",https://fptjobs.com/ky-thuat-vien-khao-sat-thiet-ke-ha-tang-vien-thong-hcm-18326,15000000 - 18000000 VND,"Tư vấn, lập hồ sơ thiết kế các công trình hạ tầng kỹ thuật phục vụ viễn thông, truyền hình, .…
Khảo sát, thực hiện các giải pháp thiết kế hệ thống đài,trạm để lắp đặt thiết bị phục vụ Viễn thông, DataCenter, ....
Khảo sát, lập hồ sơ thiết kế mạng cáp quang phục vụ internet, truyền hình, ....
Nghiên cứu giải pháp, lập các hồ sơ thiết kế hạ tầng kỹ thuật cung cấp dịch vụ viễn thông, thông tin liên lạc, smart city...cho các khu dân cư, các DA nhà ở, ...."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18352,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
"NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ MẠNG VIỄN THÔNG  (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-ky-thuat-trien-khai-va-bao-tri-mang-vien-thong-quan-5-6-10-11-18350,8000000 - 15000000 VND,"Khảo sát, lắp đặt đường truyền Internet, Camera đến nhà khách hàng.
Kiểm tra, sửa chữa hệ thống viễn thông.
Hỗ trợ tư vấn kỹ thuật trực tiếp cho khách hàng.
Kết hợp tư vấn, bán các sản phẩm dịch vụ công ty cung cấp. Thấu cảm, tạo ra những
tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các kênh ở mọi điểm chạm.
Thực hiện các công việc khác theo sự phân công của trưởng bộ phận.
Khu vực tuyển dụng: Quận 5, 6, 10, 11"
"CHUYÊN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/chuyen-vien-kinh-doanh-dich-vu-vien-thong-quan-5-6-10-11-18349,10000000 - 20000000 VND,"Tư vấn, giải thích cho khách hàng về dịch vụ do FPT Telecom đang cung cấp.
Sản phẩm: Internet, Truyền hình và Camera FPT
Đàm phán, thương lượng, xúc tiến ký kết hợp đồng với khách hàng.
Làm việc tại văn phòng hoặc theo yêu cầu, hướng dẫn của quản lý trực tiếp."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18345,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
KỸ THUẬT VIÊN KHẢO SÁT THIẾT KẾ HẠ TẦNG VIỄN THÔNG (HCM),"29B-31B-33B, Đường Tân Thuận, Khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",https://fptjobs.com/ky-thuat-vien-khao-sat-thiet-ke-ha-tang-vien-thong-hcm-18326,15000000 - 18000000 VND,"Tư vấn, lập hồ sơ thiết kế các công trình hạ tầng kỹ thuật phục vụ viễn thông, truyền hình, .…
Khảo sát, thực hiện các giải pháp thiết kế hệ thống đài,trạm để lắp đặt thiết bị phục vụ Viễn thông, DataCenter, ....
Khảo sát, lập hồ sơ thiết kế mạng cáp quang phục vụ internet, truyền hình, ....
Nghiên cứu giải pháp, lập các hồ sơ thiết kế hạ tầng kỹ thuật cung cấp dịch vụ viễn thông, thông tin liên lạc, smart city...cho các khu dân cư, các DA nhà ở, ...."
